file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
RES0080	24.22	24.39	2	0	0	30	32	30	32	1	1	1	1	11	11	11	11
RES0081	20.98	21.05	1	0	0	50	50	50	50	3	3	3	3	11	13	11	13
RES0082	21.66	21.66	0	0	0	22	22	22	22	2	2	2	2	5	7	5	7
RES0083	18.97	18.97	0	0	0	21	23	21	23	2	2	2	2	11	12	11	12
RES0084	14.30	14.30	0	0	0	41	42	41	42	2	2	2	2	30	36	30	36
RES0085	25.43	25.64	2	0	0	35	35	35	35	4	4	4	4	7	10	7	10
RES0086	24.25	24.46	2	0	1	40	40	40	40	6	6	6	6	14	18	14	18
RES0087	25.23	25.23	0	0	0	55	60	55	60	9	9	9	9	14	18	14	18
RES0088	14.52	14.52	0	0	0	51	51	51	51	7	7	7	7	10	13	10	13
RES0089	18.19	18.13	0	0	1	44	44	44	44	7	7	7	7	16	18	17	18
RES0090	12.65	12.65	0	0	0	31	34	31	34	10	10	10	10	8	13	8	13
RES0091	26.25	26.25	0	0	0	39	41	39	41	3	3	3	3	8	9	8	9
RES0092	36.85	36.85	0	0	0	19	20	19	20	1	1	1	1	6	7	6	7
RES0093	22.90	22.90	1	0	0	23	26	23	26	4	4	4	4	7	8	7	8
RES0094	32.65	32.78	1	0	0	18	20	18	20	2	2	2	2	3	4	3	4
RES0095	22.64	22.64	1	0	0	29	32	29	32	0	0	0	0	18	25	18	25
RES0096	29.98	30.06	1	0	1	24	29	25	29	1	1	1	1	22	24	22	24
RES0097	19.19	19.19	1	0	0	41	43	42	43	4	4	4	4	17	17	17	17
RES0098	26.06	25.99	1	0	0	23	25	24	25	3	3	3	3	17	20	17	20
RES0099	15.50	15.50	0	0	0	40	45	40	45	3	3	3	3	14	15	14	15
RES0100	15.47	15.36	3	0	0	52	53	53	53	8	8	8	8	14	18	14	18
RES0101	27.19	27.19	0	0	0	41	48	41	48	8	8	8	8	8	11	8	11
RES0102	15.21	15.21	1	0	1	35	36	35	36	4	4	4	4	24	28	25	28
RES0103	28.75	28.84	3	0	2	28	31	30	31	5	8	5	8	12	14	12	14
RES0104	23.52	23.52	2	0	0	35	35	35	35	7	9	7	9	11	15	11	15
RES0105	24.46	24.40	5	0	0	26	28	27	28	7	7	7	7	9	11	9	11
RES0106	18.55	18.63	1	0	0	49	51	49	51	2	2	2	2	14	21	14	21
RES0107	26.45	26.39	1	0	0	59	61	60	61	1	1	1	1	10	14	10	14
RES0108	39.32	39.32	0	0	0	47	53	47	53	1	1	1	1	10	17	10	17
RES0109	34.06	34.06	0	0	0	31	36	31	36	0	1	0	1	7	10	7	10
RES0110	19.57	19.57	0	0	0	47	49	47	49	2	2	2	2	8	10	8	10
RES0111	27.98	27.98	0	0	0	40	45	40	45	3	3	3	3	7	11	7	11
RES0112	35.86	35.86	0	0	0	20	23	20	23	0	0	0	0	3	6	3	6
RES0113	25.96	25.96	0	0	0	33	38	33	38	4	4	4	4	14	18	14	18
RES0114	25.86	25.80	1	0	0	43	46	44	46	7	7	7	7	18	19	18	19
RES0116	18.97	18.91	2	0	1	49	52	50	52	11	11	11	11	23	26	23	26
RES0117	39.80	39.80	0	0	0	47	51	47	51	1	1	1	1	7	11	7	11
RES0118	14.37	14.27	1	0	0	41	43	42	43	2	2	2	2	9	9	9	9
RES0119	24.05	24.05	0	0	0	38	43	38	43	4	4	4	4	10	17	10	17
RES0120	23.43	23.43	0	0	0	40	42	40	42	0	1	0	1	11	12	11	12
RES0121	13.50	13.50	0	0	0	45	46	45	46	5	5	5	5	9	9	9	9
RES0122	21.68	21.68	0	0	1	31	36	31	36	2	2	2	2	7	9	7	9
RES0123	20.70	20.70	0	0	0	42	48	42	48	3	3	3	3	12	19	12	19
RES0124	15.32	15.27	1	0	0	40	41	41	41	5	5	5	5	7	9	7	9
RES0125	15.26	15.20	1	0	0	43	50	44	50	3	3	3	3	26	33	26	33
